  BANCO   : 037 - BANCO DO ESTADO DO PARA S.A. |||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
2|CASTANHAL|PA|CASTANHAL
3|SANTAREM|PA|SANTAREM
4|RIO DE JANEIRO|RJ|RIO DE JANEIRO
5|PARAGOMINAS|PA|PARAGOMINAS
6|ABAETETUBA|PA|ABAETETUBA
7|CAPITAO POCO|PA|CAPITAO POCO
8|CONCEICAO DO ARAGUAIA|PA|CONCEICAO DO ARAGU
9|MARACANA|PA|MARACANA
10|SAO PAULO|SP|SAO PAULO
11|BELEM CENTRO|PA|BELEM
12|OBIDOS|PA|OBIDOS
13|MARABA|PA|MARABA
14|TELEGRAFO|PA|BELEM
15|SENADOR LEMOS|PA|BELEM
16|TUCURUI|PA|TUCURUI
18|BRAGANCA|PA|BRAGANCA
19|BREVES|PA|BREVES
20|ANANINDEUA|PA|ANANINDEUA
21|ESTRADA NOVA|PA|BELEM
22|BARCARENA|PA|BARCARENA
23|MANAUS|AM|MANAUS
24|NAZARE|PA|BELEM
25|SAO BRAZ|PA|BELEM
26|METROPALACIO|PA|BELEM
27|ICOARACI|PA|BELEM
28|REDENCAO|PA|REDENCAO
29|ALTAMIRA|PA|ALTAMIRA
30|CAMETA|PA|CAMETA
31|RONDON DO PARA|PA|RONDON DO PARA
32|CAPANEMA|PA|CAPANEMA
33|ALENQUER|PA|ALENQUER
34|CONCORDIA DO PARA|PA|CONCORDIA DO PARA
35|ITUPIRANGA|PA|ITUPIRANGA
36|VISEU|PA|VISEU
37|SANTA ISABEL DO PARA|PA|SANTA ISABEL DO PA
38|ITAITUBA|PA|ITAITUBA
39|VIGIA|PA|VIGIA
40|XINGUARA|PA|XINGUARA
41|DOM ELISEU|PA|DOM ELISEU
42|ORIXIMINA|PA|ORIXIMINA
43|PARAUAPEBAS|PA|PARAUAPEBAS
44|AGENCIA BR ANANINDEUA|PA|ANANINDEUA
45|CIDADE NOVA|PA|ANANINDEUA
46|JURUTI|PA|JURUTI
47|PEDREIRA|PA|BELEM
48|CANAA DOS CARAJAS|PA|CANAA DOS CARAJAS
49|EMPRESARIAL|PA|BELEM
50|AGENCIA EMPRESARIAL SANTAREM|PA|SANTAREM
51|MARABA CIDADE NOVA|PA|MARABA
52|MARITUBA|PA|MARITUBA
53|AUGUSTO MONTE NEGRO|PA|BELEM
54|TAILANDIA|PA|TAILANDIA
55|MOJU|PA|MOJU
56|BARCARENA CENTRO|PA|BARCARENA
57|SANTA BARBARA DO PARA|PA|SANTA BARBARA DO P
58|TUCUMA|PA|TUCUMA
59|BENEVIDES|PA|BENEVIDES
60|BOM JESUS DO TOCANTINS|PA|BOM JESUS DO TOCAN
61|RIO MARIA|PA|RIO MARIA
62|SANTA LUZIA DO PARA|PA|SANTA LUZIA DO PAR
63|CURUCA|PA|CURUCA
64|JACUNDA|PA|JACUNDA
65|SANTA MARIA DO PARA|PA|SANTA MARIA DO PAR
66|TOME ACU QUATRO BOCAS|PA|TOME-ACU
67|BONITO|PA|BONITO
68|AGENCIA FARO|PA|FARO
69|ALMERIM|PA|ALMEIRIM
70|IGARAPE MIRI|PA|IGARAPE-MIRI
71|SAO MIGUEL DO GUAMA|PA|SAO MIGUEL DO GUAM
72|AGENCIA BAIAO|PA|BAIAO
73|BREU BRANCO|PA|BREU BRANCO
74|ANAJAS|PA|ANAJAS
75|ACARA|PA|ACARA
76|SAO GERALDO DO ARAGUAIA|PA|SAO GERALDO DO ARA
77|MOJUI DOS CAMPOS|PA|MOJUI DOS CAMPOS
78|MUANA|PA|MUANA
79|SANTANA DO ARAGUAIA|PA|SANTANA DO ARAGUAI
80|MARAPANIM|PA|MARAPANIM
81|SAO CAETANO DE ODIVELAS|PA|SAO CAETANO DE ODI
82|IGARAPé-Açú|PA|IGARAPE-ACU
83|MOSQUEIRO|PA|BELEM
84|MEDICILANDIA|PA|MEDICILANDIA
85|NOVO PROGRESSO|PA|NOVO PROGRESSO
86|OURILANDIA DO NORTE|PA|OURILANDIA DO NORT
87|SOURE|PA|SOURE
88|ITAITUBA CIDADE ALTA|PA|ITAITUBA
89|LIMOEIRO DO AJURU|PA|LIMOEIRO DO AJURU
90|AGENCIA PONTA DE PEDRAS|PA|PONTA DE PEDRAS
91|AGENCIA AFUA|PA|AFUA
92|ELDORADO DOS CARAJAS|PA|ELDORADO DO CARAJA
93|SALVATERRA|PA|SALVATERRA
94|SAO JOAO DE PIRABAS|PA|SAO JOAO DE PIRABA
95|SALINOPOLIS|PA|SALINOPOLIS
96|GOIANESIA DO PARA|PA|GOIANESIA DO PARA
97|BUJARU|PA|BUJARU
98|IPIXUNA DO PARA|PA|IPIXUNA DO PARA
99|MONTE ALEGRE|PA|MONTE ALEGRE
102|VITORIA DO XINGU|PA|VITORIA DO XINGU
103|AGENCIA FLORESTA DO ARAGUAIA|PA|FLORESTA DO ARAGUA
104|AGENCIA GARRAFAO DO NORTE|PA|GARRAFAO DO NORTE
105|ABEL FIGUEIREDO|PA|ABEL FIGUEIREDO
106|AGUA AZUL DO NORTE|PA|AGUA AZUL DO NORTE
107|ANAPU|PA|ANAPU
108|BREJO GRANDE DO ARAGUAIA|PA|BREJO GRANDE DO AR
109|CURUA|PA|CURUA
110|PRIMAVERA|PA|PRIMAVERA
111|SANTO ANTONIO DO TAUA|PA|SANTO ANTONIO DO T
112|SAPUCAIA|PA|SAPUCAIA
113|MELGACO|PA|MELGACO
114|CURRALINHO|PA|CURRALINHO
115|AUGUSTO CORREA|PA|AUGUSTO CORREA
116|CURIONOPOLIS|PA|CURIONOPOLIS
117|AGENCIA TERRA SANTA|PA|TERRA SANTA
118|AURORA DO PARA|PA|AURORA DO PARA
119|CACHOEIRA DO ARARI|PA|CACHOEIRA DO ARARI
120|TRACUATEUA|PA|TRACUATEUA
121|AGENCIA SAO FELIX DO XINGU|PA|SAO FELIX DO XINGU
122|TRAIRAO|PA|TRAIRAO
123|AGENCIA MARABA SAO FELIX|PA|MARABA
124|OEIRAS DO PARA|PA|OEIRAS DO PARA
125|SENADOR JOSE PORFIRIO|PA|SENADOR JOSE PORFI
126|PORTO DE MOZ|PA|PORTO DE MOZ
127|AGÊNCIA CUMARU DO NORTE|PA|CUMARU DO NORTE
128|PAU D'ARCO|PA|PAU D' ARCO
129|MOCAJUBA|PA|MOCAJUBA
130|PALESTINA DO PARÁ|PA|PALESTINA DO PARÁ
131|AGÊNCIA JACAREACANGA|PA|JACAREACANGA
132|AGÊNCIA RURÓPOLIS|PA|RUROPOLIS
133|AGÊNCIA CACHOEIRA DO PIRIÁ|PA|CACHOEIRA DO PIRIA
134|AGÊNCIA PACAJÁ|PA|PACAJA
135|AGENCIA - PIÇARRA|PA|PIÇARRA
136|AGÊNCIA ULIANÓPOLIS|PA|ULIANOPOLIS
137|AGÊNCIA BANNACH|PA|BANNACH