  BANCO   : 041 - BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.  |||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|PAB CENTRAL|RS|PORTO ALEGRE
2|AU-AZENHA|RS|PORTO ALEGRE
3|AU-BONFIM|RS|PORTO ALEGRE
4|AU-CAMINHO DO MEIO|RS|PORTO ALEGRE
5|AU-CIDADE BAIXA|RS|PORTO ALEGRE
6|POSTO COLISEU|RS|PORTO ALEGRE
7|CRISTO REDENTOR|RS|PORTO ALEGRE
8|AU-FLORESTA|RS|PORTO ALEGRE
9|AU-GLORIA|RS|PORTO ALEGRE
10|AU-MENINO DEUS|RS|PORTO ALEGRE
11|AU-MOINHOS DE VENTO|RS|PORTO ALEGRE
12|AU-NAVENGANTES|RS|PORTO ALEGRE
13|AU-PARTENON|RS|PORTO ALEGRE
14|PASSO DA AREIA|RS|PORTO ALEGRE
15|AU-PETROPOLIS|RS|PORTO ALEGRE
16|AG - IPANEMA|RS|PORTO ALEGRE
17|AU-TERESOPOLIS|RS|PORTO ALEGRE
18|AG - CRISTOVAO COLOMBO|RS|PORTO ALEGRE
19|AU-OTAVIO ROCHA|RS|PORTO ALEGRE
20|AU-AVENIDA DOS ESTADOS|RS|PORTO ALEGRE
21|POSTO ALEGRETE|RS|ALEGRETE
22|POSTO ARROIO GRANDE|RS|ARROIO GRANDE
23|POSTO BAGE|RS|BAGE
24|PAB BARRA DO RIBEIRO|RS|BARRA DO RIBEIRO
25|AG - AVENIDA DOS ESTADOS|RS|PORTO ALEGRE
26|BOM JESUS|RS|BOM JESUS
27|CACAPAVA DO SUL|RS|CACAPAVA DO SUL
28|ASSIS BRASIL|RS|PORTO ALEGRE
29|CACHOEIRA DO SUL|RS|CACHOEIRA DO SUL
30|CAMAQUA|RS|CAMAQUA
31|AU BELEM NOVO|RS|PORTO ALEGRE
32|AG - BOMFIM|RS|PORTO ALEGRE
33|CARAZINHO|RS|CARAZINHO
34|POSTO CAXIAS DO SUL|RS|CAXIAS DO SUL
35|AU-SAO PELEGRINO|RS|CAXIAS DO SUL
36|AG - CAVALHADA|RS|PORTO ALEGRE
37|POSTO DOM PEDRITO|RS|DOM PEDRITO
38|ENCRUZILHADA DO SUL|RS|ENCRUZILHADA DO SU
39|ERECHIM|RS|ERECHIM
40|AG - CIDADE BAIXA|RS|PORTO ALEGRE
41|AU COLISEU|RS|PORTO ALEGRE
42|AG - CRISTO REDENTOR|RS|PORTO ALEGRE
43|AG - VILA IPIRANGA|RS|PORTO ALEGRE
44|POSTO IJUI|RS|IJUI
45|ITAQUI|RS|ITAQUI
46|JAGUARAO|RS|JAGUARAO
47|AG - GLORIA|RS|PORTO ALEGRE
48|JULIO DE CASTILHOS|RS|JULIO DE CASTILHOS
49|LAGOA VERMELHA|RS|LAGOA VERMELHA
50|AG - MENINO DE DEUS|RS|PORTO ALEGRE
51|UNIAO|RS|PORTO ALEGRE
52|POSTO NOVA PRATA|RS|NOVA PRATA
53|PAB NOVO HAMBURGO|RS|NOVO HAMBURGO
54|POSTO OSORIO|RS|OSORIO
55|PASSO FUNDO|RS|PASSO FUNDO
56|PAB PELOTAS|RS|PELOTAS
57|POSTO FRAGATA|RS|PELOTAS
58|POSTO AU TRES VENDAS|RS|PELOTAS
59|POSTO QUARAI|RS|QUARAI
60|AG - NAVEGANTES|RS|PORTO ALEGRE
61|POSTO RIO PARDO|RS|RIO PARDO
62|AG - OTAVIO ROCHA|RS|PORTO ALEGRE
63|POSTO SANTA CRUZ DO SUL|RS|SANTA CRUZ DO SUL
64|POSTO SANTA MARIA|RS|SANTA MARIA
65|SANTANA LIVRAMENTO|RS|SANTANA DO LIVRAME
66|POSTO SANTA ROSA|RS|SANTA ROSA
67|STA VITORIA PALMAR|RS|SANTA VITORIA DO P
68|POSTO SANTIAGO|RS|SANTIAGO
69|PAB SANTO ANGELO|RS|SANTO ANGELO
70|AG - PASSO DA AREIA|RS|PORTO ALEGRE
71|POSTO SAO GABRIEL|RS|SAO GABRIEL
72|POSTO SAO JERONIMO|RS|SAO JERONIMO
73|RUA DA PRAIA|RS|PORTO ALEGRE
74|PAB SAO LUIZ GONZAGA|RS|SAO LUIZ GONZAGA
75|AG - PETROPOLIS|RS|PORTO ALEGRE
76|PAB SAPIRANGA|RS|SAPIRANGA
77|AG - PARCAO|RS|PORTO ALEGRE
78|POSTO SOLEDADE|RS|SOLEDADE
79|POSTO TAPES|RS|TAPES
80|AU SAO JOAO|RS|PORTO ALEGRE
81|POSTO URUGUAIANA|RS|URUGUAIANA
82|AG - TERESOPOLIS|RS|PORTO ALEGRE
83|POSTO VERANOPOLIS|RS|VERANOPOLIS
84|POSTO ANTONIO PRADO|RS|ANTONIO PRADO
85|TRISTEZA|RS|PORTO ALEGRE
86|POSTO ARROIO DO MEIO|RS|ARROIO DO MEIO
87|POSTO CAMPO NOVO|RS|CAMPO NOVO
88|POSTO CANELA|RS|CANELA
89|POSTO CARLOS BARBOSA|RS|CARLOS BARBOSA
90|POSTO CASCA|RS|CASCA
91|POSTO CERRO LARGO|RS|CERRO LARGO
92|POSTO CHARQUEADAS|RS|CHARQUEADAS
93|POSTO CRISSIUMAL|RS|CRISSIUMAL
94|POSTO ENCANTADO|RS|ENCANTADO
95|POSTO ESTRELA|RS|ESTRELA
96|POSTO FLORES DA CUNHA|RS|FLORES DA CUNHA
97|POSTO FREDERICO WESTPHALEN|RS|FREDERICO WESTPHAL
98|POSTO GENERAL CAMARA|RS|GENERAL CAMARA
99|POSTO GETULIO VARGAS|RS|GETULIO VARGAS
100|CENTRAL - MATRIZ|RS|PORTO ALEGRE
101|POSTO GRAMADO|RS|GRAMADO
102|AU AGUDO|RS|AGUDO
103|POSTO GUAPORE|RS|GUAPORE
104|POSTO HERVAL|RS|HERVAL
105|AJURICABA|RS|AJURICABA
107|ALVORADA|RS|ALVORADA
108|POSTO MACHADINHO|RS|MACHADINHO
109|POSTO MARAU|RS|MARAU
110|ALEGRETE|RS|ALEGRETE
111|CIDADE JARDIM|SP|SAO PAULO
112|LAPA|SP|SAO PAULO
113|POSTO PEDRO OSORIO|RS|PEDRO OSORIO
114|POSTO PINHEIRO MACHADO|RS|PINHEIRO MACHADO
115|ARROIO GRANDE|RS|ARROIO GRANDE
116|ARROIO DO TIGRE|RS|ARROIO DO TIGRE
117|ARROIO DOS RATOS|RS|ARROIO DOS RATOS
118|ARVOREZINHA RS|RS|ARVOREZINHA
119|AUGUSTO PESTANA|RS|AUGUSTO PESTANA
120|BAGE|RS|BAGE
121|PAB SAO FRANCISCO ASSIS|RS|SAO FRANCISCO DE A
122|BARAO DE COTEGIPE|RS|BARAO DE COTEGIPE
123|BARRA DO RIBEIRO|RS|BARRA DO RIBEIRO
124|BARROS CASSAL|RS|BARROS CASSAL
125|BELO HORIZONTE|MG|BELO HORIZONTE
126|POSTO TAQUARI|RS|TAQUARI
127|AG BARRACAO|RS|BARRACAO
128|AU CIDADE ALTA|RS|BENTO GONCALVES
129|POSTO TRAMANDAI|RS|TRAMANDAI
130|AG BENTO GONCALVES|RS|BENTO GONCALVES
131|AG - BLUMENAU|SC|BLUMENAU
132|AG - BOM RETIRO DO SUL|RS|BOM RETIRO DO SUL
133|AG - BOM JESUS|RS|BOM JESUS
134|BOA VISTA DO BURICA|RS|BOA VISTA DO BURIC
135|BRASILIA|DF|BRASILIA
136|AG - BUTIA|RS|BUTIA
137|AG - CACAPAVA DO SUL|RS|CACAPAVA DO SUL
138|PAB CURITIBA|PR|CURITIBA
139|CACHOEIRINHA|RS|CACHOEIRINHA
140|CACEQUI|RS|CACEQUI
141|AG - BOSSOROCA|RS|BOSSOROCA
142|BOM PRINCIPIO|RS|BOM PRINCIPIO
143|POSTO SENADOR QUEIROZ|SP|SAO PAULO
144|POSTO AU LAPA|SP|SAO PAULO
145|POSTO ESTANCIA VELHA|RS|ESTANCIA VELHA
146|POSTO NOSSA SENHORA DORE|RS|SANTA MARIA
147|PAB RECIFE|PE|RECIFE
148|PAB HUMAITA|RS|HUMAITA
149|FORTALEZA|CE|FORTALEZA
150|BLUMENAU|SC|BLUMENAU
151|POSTO ARROIO DO TIGRE|RS|ARROIO DO TIGRE
152|AG - CACHOEIRINHA|RS|CACHOEIRINHA
153|POSTO REDENTORA|RS|REDENTORA
155|POSTO TUBARAO|SC|TUBARAO
156|AG - LOMBA DO PINHEIRO|RS|PORTO ALEGRE
158|POSTO AU CIDADE JARDIM|SP|SAO PAULO
159|POSTO SERAFINA CORREA|RS|SERAFINA CORREA
160|AG - CAMAQUA|RS|CAMAQUA
161|POSTO TUCUNDUVA|RS|TUCUNDUVA
163|CAMPO BOM|RS|CAMPO BOM
164|POSTO FORTALEZA DOS VALOS|RS|FORTALEZA DOS VALO
165|CANOAS|RS|CANOAS
167|CANGUCU|RS|CANGUCU
168|AU-CEASA|RS|PORTO ALEGRE
169|AG - CAPAO DO LEAO|RS|CAPAO DO LEAO
170|AG - CARAZINHO|RS|CARAZINHO
171|PORTO LUCENA|RS|PORTO LUCENA
172|POSTO SAO MARTINHO|RS|SAO MARTINHO
173|BARROS CASSAL|RS|BARROS CASSAL
174|POSTO ROLANTE|RS|ROLANTE
175|POSTO BOA VISTA DO BURICA|RS|BOA VISTA DO BURIC
176|POSTO AJURICABA|RS|AJURICABA
177|SANTO ANTONIO DAS MISSOES|RS|SANTO ANTONIO DAS
178|RONDINHA|RS|RONDINHA
180|CAXIAS DO SUL|RS|CAXIAS DO SUL
183|ROQUE GONZALES|RS|ROQUE GONZALES
184|POSTO JACUTINGA|RS|JACUTINGA
185|AG - SAO PELEGRINO|RS|CAXIAS DO SUL
186|CRICIUMA|SC|CRICIUMA
187|AU CONDOR|RS|CONDOR
188|POSTO NOVA PALMA|RS|NOVA PALMA
190|CRUZ ALTA|RS|CRUZ ALTA
191|CRUZEIRO DO SUL|RS|CRUZEIRO DO SUL
192|POSTO RODEIO BONITO|RS|RODEIO BONITO
193|AG COTIPORA|RS|COTIPORA
194|POSTO VIADUTOS|RS|VIADUTOS
195|CURITIBA|PR|CURITIBA
196|CASSINO|RS|RIO GRANDE
197|DOIS IRMAOS|RS|DOIS IRMAOS
198|POSTO CACIQUE DOBLE|RS|CACIQUE DOBLE
199|POSTO IBIRAIARAS|RS|IBIRAIARAS
200|DOM PEDRITO|RS|DOM PEDRITO
201|AU CHACARA BARRETO|RS|CANOAS
202|POSTO SAO VICENTE DO SUL|RS|SAO VICENTE DO SUL
203|POSTO SAO PAULO DAS MISSOES|RS|SAO PAULO DAS MISS
204|POSTO PANAMBI|RS|PANAMBI
205|DAVID CANABARRO|RS|DAVID CANABARRO
206|DONA FRANCISCA|RS|DONA FRANCISCA
207|ENCRUZILHADA DO SUL|RS|ENCRUZILHADA DO SU
208|POSTO TRES DE MAIO|RS|TRES DE MAIO
210|AG - ERECHIM|RS|ERECHIM
211|POSTO MIRAGUAI|RS|MIRAGUAI
212|POSTO CIRIACO|RS|CIRIACO
213|AG ESTEIO|RS|ESTEIO
214|ESTRELA|RS|ESTRELA
215|FARROUPILHA|RS|FARROUPILHA
216|FORTALEZA|CE|FORTALEZA
217|FLORIANOPOLIS|SC|FLORIANOPOLIS
218|GARIBALDI|RS|GARIBALDI
219|GUAIBA|RS|GUAIBA
220|IJUI|RS|IJUI
221|PAIM FILHO|RS|PAIM FILHO
222|POSTO PORTO XAVIER|RS|PORTO XAVIER
223|FORTALEZA DOS VALOS|RS|FORTALEZA DOS VALO
224|GAURAMA|RS|GAURAMA
225|HUMAITA|RS|HUMAITA
227|POSTO ESPUMOSO|RS|ESPUMOSO
228|POSTO FELIZ|RS|FELIZ
229|POSTO GUARANI DAS MISSOES|RS|GUARANI DAS MISSOE
230|AG - ITAQUI|RS|ITAQUI
231|AG - ITATIBA DO SUL|RS|ITATIBA DO SUL
232|AG IVOTI|RS|IVOTI
233|JACUTINGA|RS|JACUTINGA
234|AU UNIAO|RS|PORTO ALEGRE
235|III POLO PETROQUIMICO|RS|TRIUNFO
238|POSTO DOIS IRMAOS|RS|DOIS IRMAOS
239|MOSTARDAS|RS|MOSTARDAS
240|JAGUARI|RS|JAGUARI
241|POSTO MARIANO MORO|RS|MARIANO MORO
242|JOIA|RS|JOIA
243|JOINVILLE|SC|JOINVILLE
244|POSTO AGUDO|RS|AGUDO
245|POSTO CANGUCU|RS|CANGUCU
246|POSTO TRES COROAS|RS|TRES COROAS
248|POSTO SINIMBU|RS|SINIMBU
249|POSTO CASSINO|RS|RIO GRANDE
250|ITATIBA DO SUL|RS|ITATIBA DO SUL
252|POSTO BELEM NOVO|RS|PORTO ALEGRE
257|PUC|RS|PORTO ALEGRE
260|AG - LAGOA VERMELHA|RS|LAGOA VERMELHA
261|POSTO PARAI|RS|PARAI
262|POSTO PORTAO|RS|PORTAO
265|POSTO VERA CRUZ|RS|VERA CRUZ
266|POSTO SAO PEDRO DO SUL|RS|SAO PEDRO DO SUL
267|BUTIA|RS|BUTIA
268|POSTO COLORADO|RS|COLORADO
269|POSTO DONA FRANCISCA|RS|DONA FRANCISCA
270|LAGEADO|RS|LAJEADO
273|POSTO CORONEL BICACO|RS|CORONEL BICACO
274|POSTO CONSTANTINA|RS|CONSTANTINA
275|BOM RETIRO DO SUL|RS|BOM RETIRO DO SUL
276|POSTO CHIAPETA|RS|CHIAPETA
277|POSTO DAVID CANABARRO|RS|DAVID CANABARRO
278|POSTO HORIZONTINA|RS|HORIZONTINA
279|BOA VISTA|RS|ERECHIM
280|AG - SANTANA DO LIVRAMENTO|RS|SANTANA DO LIVRAME
281|POSTO FAXINAL DO SOTURNO|RS|FAXINAL DO SOTURNO
282|POSTO CHAPADA|RS|CHAPADA
283|MONTENEGRO|RS|MONTENEGRO
285|NOVA PRATA|RS|NOVA PRATA
286|AG - MOSTARDAS|RS|MOSTARDAS
287|AU NOSSA SENHORA DE LOURDES|RS|CAXIAS DO SUL
288|AU MEDIANEIRA|RS|SANTA MARIA
289|POSTO PLANALTO|RS|PLANALTO
290|NOVO HAMBURGO|RS|NOVO HAMBURGO
291|POSTO TRIUNFO|RS|TRIUNFO
292|AU-TRES FIGUEIRAS|RS|PORTO ALEGRE
295|AU-VILA IPIRANGA|RS|PORTO ALEGRE
297|POSTO ASSIS BRASIL|RS|PORTO ALEGRE
298|BOSSOROCA|RS|BOSSOROCA
299|POSTO PALMITINHO|RS|PALMITINHO
300|AG OSORIO|RS|OSORIO
301|PALMARES DO SUL|RS|PALMARES DO SUL
302|AU BOM CONSELHO|RS|PORTO ALEGRE
303|PALMEIRA DAS MISSOES|RS|PALMEIRA DAS MISSO
304|PALMITINHO|RS|PALMITINHO
305|PEJUCARA|RS|PEJUCARA
307|NOVA PETROPOLIS|RS|NOVA PETROPOLIS
308|NOVA HARTZ|RS|NOVA HARTZ
309|ROCA SALES|RS|ROCA SALES
310|AG - PASSO FUNDO|RS|PASSO FUNDO
311|AU-CAVALHADA|RS|PORTO ALEGRE
312|POSTO TEUTONIA|RS|TEUTONIA
313|AU-SAO JOSE|RS|PORTO ALEGRE
315|SAO CRISTOVAO|RS|PASSO FUNDO
316|AU PARCAO|RS|PORTO ALEGRE
318|POSTO VICTOR GRAEFF|RS|VICTOR GRAEFF
320|PELOTAS|RS|PELOTAS
321|POSTO COTIPORA|RS|COTIPORA
322|CATUIPE|RS|CATUIPE
323|CAPAO DA CANOA|RS|CAPAO DA CANOA
324|POSTO ERVAL SECO|RS|ERVAL SECO
325|QUARAI|RS|QUARAI
326|POSTO TUPARENDI|RS|TUPARENDI
328|RECIFE|PE|RECIFE
329|REDENTORA|RS|REDENTORA
330|RIO GRANDE|RS|RIO GRANDE
331|AG - ROQUE GONZALES|RS|ROQUE GONZALES
332|ROLANTE|RS|ROLANTE
333|SALTO DO JACUI|RS|SALTO DO JACUI
334|POSTO PALMARES DO SUL|RS|PALMARES DO SUL
335|RIO DE JANEIRO|RJ|RIO DE JANEIRO
336|CAPAO DO LEAO|RS|CAPAO DO LEAO
337|AU COPACABANA|RJ|RIO DE JANEIRO
338|RIO PARDO|RS|RIO PARDO
339|ROSARIO DO SUL|RS|ROSARIO DO SUL
340|SANTA CRUZ DO SUL|RS|SANTA CRUZ DO SUL
341|SANTA BARBARA DO SUL|RS|SANTA BARBARA DO S
342|BARAO|RS|BARAO
343|BAIRRO CIDADE|RS|SANTA CRUZ DO SUL
344|POSTO BARAO|RS|BARAO
345|SALVADOR|BA|SALVADOR
346|AU RUA DA PRAIA|RS|PORTO ALEGRE
347|POSTO EREBANGO|RS|EREBANGO
348|AU-AV. JULIO|RS|PORTO ALEGRE
349|AU-CRISTOVAO COLOMBO|RS|PORTO ALEGRE
350|SANTA MARIA|RS|SANTA MARIA
351|AG - MEDIANEIRA|RS|SANTA MARIA
352|POSTO SCHARLAU|RS|SAO LEOPOLDO
353|NOSSA SENHORA DAS DORES|RS|SANTA MARIA
354|ANA RECH|RS|CAXIAS DO SUL
355|SANTA ROSA|RS|SANTA ROSA
356|PAB CAMOBI|RS|SANTA MARIA
357|AG - STA VITORIA PALMAR|RS|SANTA VITORIA DO P
358|POSTO TERRA DE AREIA|RS|TERRA DE AREIA
359|GUARULHOS|SP|GUARULHOS
360|SANTIAGO|RS|SANTIAGO
361|AU-IPANEMA|RS|PORTO ALEGRE
362|AU-CARLOS GOMES|RS|PORTO ALEGRE
363|AU-P. BELAS SHOPPING|RS|PORTO ALEGRE
364|POSTO CANUDOS|RS|NOVO HAMBURGO
365|POSTO PIO X|RS|CAXIAS DO SUL
366|POSTO PATRIA NOVA|RS|NOVO HAMBURGO
367|POSTO PAVERAMA|RS|PAVERAMA
368|POSTO HARMONIA|RS|HARMONIA
369|TANCREDO NEVES|RS|SANTA MARIA
370|SANTO ANGELO|RS|SANTO ANGELO
371|POSTO PICADA CAFE|RS|PICADA CAFE
372|POSTO NOVA PADUA|RS|NOVA PADUA
373|POSTO SAO JOAO DA URTIGA|RS|SAO JOAO DA URTIGA
374|POSTO ESTACAO|RS|ESTACAO
375|SANTO ANTONIO DAS MISSOES|RS|SANTO ANTONIO DAS
376|POSTO IMBE|RS|IMBE
377|CAMOBI|RS|SANTA MARIA
378|POSTO VILA MARIA|RS|VILA MARIA
379|POSTO MAXIMILIANO DE ALMEIDA|RS|MAXIMILIANO DE ALM
380|SAO BORJA|RS|SAO BORJA
381|POSTO SAO JORGE|RS|SAO JORGE
382|POSTO AV. PROTASIO ALVES|RS|PORTO ALEGRE
383|POSTO BENJAMIN CONSTANT|RS|PORTO ALEGRE
385|SAO FRANCISCO DE ASSIS|RS|SAO FRANCISCO DE A
386|POSTO REDENCAO|RS|PORTO ALEGRE
388|AU BAIRRO BOM JESUS|RS|PORTO ALEGRE
389|POSTO WENCESLAU ESCOBAR|RS|PORTO ALEGRE
390|SAO GABRIEL|RS|SAO GABRIEL
391|AU URUGUAI|RS|PORTO ALEGRE
393|POSTO VOLTA DO GUERINO|RS|PORTO ALEGRE
394|AU ANDRADAS|RS|PORTO ALEGRE
395|AU HOSPITAL CRISTO REDENTOR|RS|PORTO ALEGRE
396|POSTO PRINCESA ISABEL|RS|PORTO ALEGRE
397|POSTO DUQUE DE CAXIAS|RS|PORTO ALEGRE
398|POSTO IGREJA SAO PEDRO|RS|PORTO ALEGRE
399|POSTO BORGES MEDEIROS|RS|PORTO ALEGRE
400|SAO GERONIMO|RS|SAO JERONIMO
401|BOQUEIRAO|RS|CANOAS
403|AU CEL MARCOS ANDRADE|RS|VIAMAO
406|AU GASPAR MARTINS|RS|ALEGRETE
410|SAO LEOPOLDO|RS|SAO LEOPOLDO
411|SAO MARTINHO|RS|SAO MARTINHO
412|SAO LUIZ GONZAGA|RS|SAO LUIZ GONZAGA
413|SAO PAULO|SP|SAO PAULO
414|AG SAO SEPE|RS|SAO SEPE
415|RIO BRANCO|RS|SAO LEOPOLDO
416|SAPIRANGA|RS|SAPIRANGA
417|SARANDI|RS|SARANDI
418|SOLEDADE|RS|SOLEDADE
419|TAPES|RS|TAPES
420|TUPANCIRETA|RS|TUPANCIRETA
421|TUBARAO|SC|TUBARAO
422|SELBACH|RS|SELBACH
423|TUCUNDUVA|RS|TUCUNDUVA
424|TAVARES|RS|TAVARES
427|TAPEJARA|RS|TAPEJARA
428|TUPARENDI|RS|TUPARENDI
430|URUGUAIANA|RS|URUGUAIANA
431|POSTO PEDRAS BRANCAS|RS|GUAIBA
432|AU RUA ERNESTO ALVES|RS|IJUI
433|POSTO ILOPOLIS|RS|ILOPOLIS
434|POSTO IRAI|RS|IRAI
