 BANCO   : 394 - BRADESCO FINANCIAMENTOS S.A.    |||
                                                                              |||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
11|RECIFE|PE|RECIFE
12|MATRIZ|SP|SAO PAULO
14|BRASILIA|DF|BRASILIA
16|RIO DE JANEIRO|RJ|RIO DE JANEIRO
18|FORTALEZA|CE|FORTALEZA
19|BELO HORIZONTE|MG|BELO HORIZONTE
20|SALVADOR|BA|SALVADOR
21|CURITIBA|PR|CURITIBA
22|PORTO ALEGRE|RS|PORTO ALEGRE
23|CAMPINAS|SP|CAMPINAS
26|SAO BERNARDO DO CAMPO|SP|SAO BERNARDO DO CA
28|AG.RIBEIRAO PRETO|SP|RIBEIRAO PRETO
30|GUARULHOS|SP|GUARULHOS
42|GUARULHOS|SP|GUARULHOS
43|S. BERNARDO DO CAMPO|SP|SAO BERNARDO DO CA
44|SAO JOSE DO RIO PRETO|SP|SAO JOSE DO RIO PR
45|JOINVILLE|SC |JOINVILLE
47|GOIANIA|GO|GOIANIA
48|MACEIO AL|AL|MACEIO
50|CAMPO GRANDE|MS|CAMPO GRANDE
51|MARINGA|PR|MARINGA
52|CUIABA|MT|IABA
53|JOAO PESSOA|PB|JOAO PESSOA
54|SAO LUIS|MA|O LUIS
55|PALMAS|TO|PALMAS
56|VITORIA|ES|VITORIA
57|TERESINA|PI|TERESINA
58|NATAL|RN|NATAL
59|BELEM PA|PA|BELEM
60|MANAUS AM|AM|MANAUS
61|FLORIANOPOLIS SC|SC|FLORIANOPOLIS