  BANCO   : 085 - CCC AILOS|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
100|CECRED|SC|BLUMENAU
101|VIACREDI|SC|BLUMENAU
102|ACREDICOOP|SC|JOINVILLE
103|CONCREDI|SC|BLUMENAU
104|ACENTRA|SC|CRICIUMA
105|UNILOS|SC|FLORIANOPOLIS
106|CREDCREA|SC|FLORIANOPOLIS
107|CREDELESC|SC|FLORIANOPOLIS
108|TRANSPOCRED|SC|FLORIANOPOLIS
109|CREDIFOZ|SC|ITAJAI
110|CREDICOMIN|SC|LAGES
111|CREVISC|SC|GUARAMIRIM
112|CIVIA|SC|SAO BENTO DO SUL
113|EVOLUA|PR|FRANCISCO BELTRAO
114|CREDIMILSUL - SC|SC|PORTO UNIAO
115|VIACREDI ALTO VALE|SC|IBIRAMA
116|TRANSULCRED|RS|BENTO GONCALVES
1001|PA 18 - DOS ESTADOS|SC|INDAIAL
1002|GASPAR CENTRO|SC|GASPAR
1003|PA 25 - ITAJAI CENTRO|SC|ITAJAI
1004|JARAGUA - ILHA FIGUEIRA|SC|JARAGUA DO SUL
1005|IBIRAMA CENTRO|SC|IBIRAMA
1006|PRESIDENTE GETULIO|SC|PRESIDENTE GETULIO
1007|BRUSQUE|SC|BRUSQUE
1008|PA 08 - AVENTUREIRO|SC|JOINVILLE
1009|RIO DO SUL|SC|RIO DO SUL
1010|CRICIUMA|SC|CRICIUMA
1011|JOINVILLE|SC|JOINVILLE
1012|PA 04 SAO CRISTOVAO|SC|CHAPECO
1013|SCRCRED - PAC RIO NEGRINHO|SC|RIO NEGRINHO
1014|ITACORUBI|SC|FLORIANOPOLIS
1015|JARAGUÁ DO SUL|SC|JARAGUA DO SUL
1016|PA 03 - BALNEARIO SANTA CLARA|SC|ITAJAI
1017|PA 53 BAIRRO CENTRO|SC|GUABIRUBA
1018|PA 02 - SAO JOAO|SC|TUBARAO
1019|PA 05 - ITAJAI|SC|ITAJAI
1020|CREDIFOZ PAC NAVEGANTES|SC|NAVEGANTES
1021|PA 03 - CENTRO|SC|PENHA
1022|VIACREDI PAC BLUMENAU VELHA|SC|BLUMENAU
1023|PA 03 - VELHA|SC|BLUMENAU
1024|VIACREDI PAC INDAIAL ENCANO|SC|INDAIAL
1025|VIACREDI PAC RODEIO|SC|RODEIO
1026|VIACREDI PAC IBIRAMA PTO.CHICK|SC|IBIRAMA
1027|PA 08 VIACREDI BAIRRO ITOUPAVA|SC|BLUMENAU
1028|PA 09 - POÇO GRANDE|SC|GASPAR
1029|VIACREDI PAC JARAGUA RIO LUZ|SC|JARAGUA DO SUL
1030|VIACREDI PAC ITAJAI SAO JOAO|SC|ITAJAI
1031|VIACREDI PAC BLUMENAU GLORIA|SC|BLUMENAU
1032|VIACREDI PAC BLUMENAU CENTRO|SC|BLUMENAU
1033|VIACREDI PAC BLUMEN.AUTO SHOP.|SC|BLUMENAU
1034|VIACEDI PAC TIMBO ESTADOS|SC|TIMBO
1035|VIACREDI PAC BLUMEN.VILA NOVA|SC|BLUMENAU
1036|VIACREDI PAC BLUMEN. SULFABRIL|SC|BLUMENAU
1037|VIACREDI PAC BLUMEN. FORTALEZA|SC|BLUMENAU
1038|VIACREDI PAC MASSARANDUBA|SC|MASSARANDUBA
1039|VIACREDI PAC ITAJAI DOM BOSCO|SC|ITAJAI
1040|PA 31 BAIRRO ÁGUA VERDE|SC|BLUMENAU
1041|VIACREDI PAC BLUM.VL.ITOUPAVA|SC|BLUMENAU
1042|VIACREDI PAC INDAIAL NACOES|SC|INDAIAL
1043|VIACREDI PAC BLUMEN.PROGRESSO|SC|BLUMENAU
1044|VIACREDI PAC BLUMENAU MAFISA|SC|BLUMENAU
1045|PA 37 - GASPAR STA TEREZINHA|SC|GASPAR
1046|VIACREDI PAC BLUM.VELHA CENTR.|SC|BLUMENAU
1047|VIACREDI PAC APIUNA|SC|APIUNA
1048|VIACREDI PAC BLUM.BREMEN ZENT.|SC|BLUMENAU
1049|PA 42 - BELA VISTA|SC|GASPAR
1050|VIACREDI PAC ASCURRA|SC|ASCURRA
1051|VIACREDI PAC ILHOTA|SC|ILHOTA
1052|VIACREDI PAC RIO DOS CEDROS|SC|RIO DOS CEDROS
1053|VIACREDI PAC INDAIAL TAPAJOS|SC|INDAIAL
1054|VIACREDI PAC JARAGUA FIGUEIRA|SC|JARAGUA DO SUL
1055|VIACREDI PAC BLUM.ITOUPAVAZIN.|SC|BLUMENAU
1056|VIACREDI PAC BLUMENAU GARCIA|SC|BLUMENAU
1057|VIACREDI PAC TIMBO CENTRO|SC|TIMBO
1058|VIACREDI PAC BLUMENAU TRIBESS|SC|BLUMENAU
1059|PA 52 - GASPAR MARGEM ESQUERDA|SC|GASPAR
1060|PA 54 BLUMENAU ESC AGRICOLA|SC|BLUMENAU
1061|VIACREDI PAC BLUM.PASSO MANSO|SC|BLUMENAU
1062|VIACREDI PAC BENEDITO NOVO|SC|BENEDITO NOVO
1063|VIACREDI PAC JARAGUA SAO LUIS|SC|JARAGUA DO SUL
1064|VIACREDI PAC BRUSQUE CENTRO|SC|BRUSQUE
1065|VIACREDI PAC BLUMENAU RELACION|SC|BLUMENAU
1066|VIACREDI PAC IBIRAMA DALBERGIA|SC|IBIRAMA
1067|VIACREDI PAC BRUSQUE|SC|BRUSQUE
1068|VIACREDI PAC LONTRAS CENTRO|SC|LONTRAS
1069|VIACREDI PAC INDAIAL CARIJOS|SC|INDAIAL
1070|VIACREDI PAC BLUM.FRANC.VAHLD.|SC|BLUMENAU
1071|VIACREDI PAC BLUM.SALTO NORTE|SC|BLUMENAU
1072|ACREDICOOP PAC POMERODE|SC|POMERODE
1073|ACREDICOOP - PAC TESTO SALTO|SC|BLUMENAU
1074|ACREDICOOP PAC TESTO REGA|SC|POMERODE
1075|ACREDICOOP PAC VL NOVA JOINVIL|SC|JOINVILLE
1076|ACREDICOOP PAC ITAUM JOINVILLE|SC|JOINVILLE
1077|ACREDICOOP PAC POMERODE CENTRO|SC|POMERODE
1078|ACREDICOOP PAC BOA VISTA|SC|JOINVILLE
1079|ACREDICOOP PAC COSTA E SILVA|SC|JOINVILLE
1080|CECRISACRED PAC CRICIUMA|SC|CRICIUMA
1081|VIACREDI PAC PONTA AGUDA|SC|BLUMENAU
1082|CECRISACRED PAC V SAO DOMINGOS|SC|CRICIUMA
1083|PA 08 - VILA NOVA|SC|BLUMENAU
1084|PA 09 - PROSPERA|SC|CRICIUMA
1085|CONCREDI PAC ITOUPAVA NORTE|SC|BLUMENAU
1086|CREDCREA PAC FLORIANOPOLIS|SC|FLORIANOPOLIS
1087|CREDCREA PAC SAO JOSE|SC|SAO JOSE
1088|CREDELESC PAC ARFLO|SC|FLORIANOPOLIS
1089|PA 68 - ITAJAI ITAIPAVA|SC|ITAJAI
1090|CREDIFIESC PAC TECNOPOLIS|SC|FLORIANOPOLIS
1091|CREDIFIESC PAC CENTRO|SC|FLORIANOPOLIS
1092|PA 04 CAMPINAS|SC|SAO JOSE
1093|CREDIFOZ PAC ITAJAI|SC|ITAJAI
1094|RODOCREDITO PAC MARMELEIRO|PR|MARMELEIRO
1095|SCRCRED PAC CORUPA|SC|CORUPA
1096|TRANSPOCRED PAC COOPERCARGO|SC|JOINVILLE
1097|PAC RIO DO SUL|SC|RIO DO SUL
1098|PA 07 - ITOUPAVA CENTRAL|SC|BLUMENAU
1099|VIACREDI ALTO VALE-PA IBIRAMA|SC|IBIRAMA
1100|PA 02 - PONTO CHIC|SC|IBIRAMA
1101|VIACREDI PA PRES.GETULIO-CENTR|SC|PRESIDENTE GETULIO
1102|PA 05 - DALBÉRGIA|SC|IBIRAMA
1103|VIACREDI PA LONTRAS-CENTRO|SC|LONTRAS
1104|VIACREDI PA RIO DO SUL-JD AMER|SC|RIO DO SUL
1105|RODOCREDITO PA DOIS VIZINHOS|PR|DOIS VIZINHOS
1106|PA 70 - BLUMENAU PEROLA|SC|BLUMENAU
1107|VIACREDI PA BADENFURT|SC|BLUMENAU
1108|PA 72 - JARAGUA VIEIRA|SC|JARAGUA DO SUL
1109|VIACREDI PA GASPAR 7|SC|GASPAR
1110|VIACREDI P.R. COOPER GARCIA|SC|BLUMENAU
1111|VIACREDI PA BRUSQUE OTTO RENAU|SC|BRUSQUE
1112|ACREDICOOP PA ITOUPAVA|SC|BLUMENAU
1113|PA VIDEIRA|SC|VIDEIRA
1114|CECRED PA TIMBO INDUSTRIAL|SC|TIMBO
1115|PA RIO DO SUL - CENTRO|SC|RIO DO SUL
1116|PA 82 BAIRRO ITOUPAVA NORTE|SC|BLUMENAU
1117|PA 79-CORDEIROS|SC|ITAJAI
1118|PA 14-CENTRO JOINVILLE|SC|JOINVILLE
1119|PA PRES.GETULIO NARDELAO-CENTR|SC|PRESIDENTE GETULIO
1120|PA CURITIBA|PR|CURITIBA
1121|PA 85 - CENTRO|SC|POMERODE
1122|PA 86 - TESTO SALTO|SC|BLUMENAU
1123|PA 87 - TESTO REGA|SC|POMERODE
1124|PA 88 - CENTRO|SC|POMERODE
1125|PA 84 ITOUPAVA NORTE|SC|BLUMENAU
1126|CREDCREA PA 07 - AREIAS|SC|CAMBORIU
1127|CREDIFOZ PA 07-AREIAS|SC|CAMBORIU
1128|CECRISACRED-PA 10 VILA NOVA|SC|ICARA
1129|TRANSULCRED PA 01-SAO BENTO|RS|BENTO GONCALVES
1130|VIACRED PA 81-FAZENDA|SC|ITAJAI
1131|VIACREDI PA 89-BARRA RIO CERRO|SC|JARAGUA DO SUL
1132|PA AGROLANDIA - CENTRO|SC|AGROLANDIA
1133|PA 05 - CID.UNIV.PEDRA BRANCA|SC|PALHOCA
1134|PA 83 - TESTO CENTRAL|SC|POMERODE
1135|PA 10 - CENTRO|SC|CRICIUMA
1136|PA 04 - CENTRO|PR|PATO BRANCO
1137|PA 194 - SCHROEDER|SC|SCHROEDER
1138|PA 06 - OXFORD|SC|SAO BENTO DO SUL
1139|PA 11 - CENTRO|SC|ITUPORANGA
1140|PA 197 - ITOUPAVA CENTRAL|SC|BLUMENAU
1141|PA 11 - HUMAITA DE CIMA|SC|TUBARAO
1142|PA 05 - GRAVATA|SC|NAVEGANTES
1143|PA 06 - CENTRO|SC|BALNEARIO CAMBORIU
1144|PA 04 - DISTR AGR DE ANAPOLIS|GO|ANAPOLIS
1145|PA 08 - BICAS|MG|SANTA LUZIA
1146|PA 05 INDUSTRIAL NORTE|SC|RIO NEGRINHO
1147|PA 199 VILA DO SALTO|SC|LUIS ALVES
1148|PA 02 - SAO CRISTOVAO|SC|LAGES
1149|PA 04 - SERRA ALTA|SC|SAO BENTO DO SUL
1150|PA 75 - SAO JOAO|SC|ITAJAI
1151|PA 77 - DOUTOR PEDRINHO|SC|DOUTOR PEDRINHO
1152|PA 80 - INDAIAL|SC|INDAIAL
1153|PA 07 - CENTRO|SC|PORTO UNIAO
1154|PA 15 - IRIRIU|SC|JOINVILLE
1155|PA 02 - SAO GERALDO|RS|PORTO ALEGRE
1156|PA 12 - PROGRESSO|SC|POUSO REDONDO
1157|PA 02 - CORTICEIRA|SC|GUARAMIRIM
1158|PA 192 - SAO JOAO|SC|ITAJAI
1159|PA 16 ITINGA|SC|ARAQUARI
1160|PA 13 TROMBUDO CENTRAL|SC|TROMBUDO CENTRAL
1161|PA 01 - ITACORUBI|SC|FLORIANOPOLIS
1162|PA 196 - SANTA TEREZINHA|SC|BRUSQUE
1163|PA 201 - CENTRO|SC|BLUMENAU
1164|PA 202 - ITOUPAVA NORTE|SC|BLUMENAU
1165|PA 193 - VILA RAU|SC|JARAGUA DO SUL
1166|PR 200 - CENTRO|SC|JARAGUA DO SUL
1167|PA 03 CORAL|SC|LAGES
1168|PA 198 CAMPOS NOVOS|SC|ITAJAI
1169|PA 15 CENTRO|SC|TAIO
1170|PA 01 - CENTRO|PR|FRANCISCO BELTRAO
1171|PA 04 - SAO VICENTE|SC|ITAJAI
1172|VIACREDI A VALE PA16 PROGRESSO|SC|RIO DO SUL
1173|SCRCRED PA 08 CENTENARIO|SC|SAO BENTO DO SUL
1174|ACENTRA PA 12 SAO LUIZ|SC|CRICIUMA
1175|CREDICOMIN PA 04 UNIVERSITARIO|SC|LAGES
1176|VIACREDI PR 195 INDAIAL COOPER|SC|INDAIAL
1177|URBANO CECRED|PR|GENERAL CARNEIRO
1178|PA 08 MACHADOS|SC|NAVEGANTES
1179|PA 06 - CANASVIEIRAS|SC|FLORIANOPOLIS
1180|PA 13 - OFICINAS|SC|TUBARAO
1181|PA 05 - VILA NOVA|PR|FRANCISCO BELTRAO
1182|PA 12 CENTRO|RS|CAXIAS DO SUL
1183|PA 10 NOSSA SENHORA DA SALETE|PR|UNIAO DA VITORIA
1184|PA 11 - AMERICA|SC|JOINVILLE
1185|PA 203 - WARNOW|SC|INDAIAL
1187|PA 14 CENTRO|SC|ICARA
1188|PA 17 CENTRO|SC|LAURENTINO
1189|PA 06 - CENTRO|PR|REALEZA
1190|PA 13 - CENTRO|RS|PELOTAS
1191|PA 10 - CORDEIROS|SC|ITAJAI
1192|PA 204 BRUSQUE DOM JOAQUIM|SC|BRUSQUE
1193|PA 03 - AMIZADE|SC|GUARAMIRIM
1194|PA 15 SANTA LUZIA|SC|CRICIUMA
1195|PA 11 CENTRO|SC|SAO BENTO DO SUL
1196|PA 19 VILA LALAU|SC|JARAGUA DO SUL
1197|PA 09 PROSPERA|SC|CRICIUMA
1198|PA 17 CIDADE ALTA|SC|ARARANGUA
1199|PA 15 CENTRO|SC|JOACABA
1200|PA 14 - RONDA|PR|PONTA GROSSA
1201|PA 18 - CENTRO|SC|DONA EMMA
1202|PA 12 - CENTRO|PR|PIEN
1203|PA 10 - BENTO GONÇALVES|RS|BENTO GONCALVES
1205|PA 206 - SÃO JOAO BATISTA|SC|SAO JOAO BATISTA
1206|PA 02 - CENTRO|SC|RIO NEGRINHO
1207|PA 16 - REBOUÇAS|PR|CURITIBA
1208|PA 07 - SACO GRANDE|SC|FLORIANOPOLIS
1209|PA 21 - UNIVERSITÁRIO|SC|TIJUCAS
1210|PA 18 - CENTRO|SC|GARUVA
1211|PA 03 - ITACORUBI|SC|FLORIANOPOLIS
1213|PA 12 - CENTRO|SC|TIJUCAS
1214|PA 19 - CENTRO|SC|SALETE
1215|PA 207 - NEREU RAMOS|SC|JARAGUA DO SUL
1216|SN 07 - CENTRO|PR|GUARAPUAVA
1217|PA 12 - CENTRO|SC|CHAPECO
1218|PA 11 - SÃO GERALDO|RS|PORTO ALEGRE
1219|PA 04 - CAMPINAS|SC|SAO JOSE
1220|PA 20 - MATHIAS VELHO|RS|CANOAS
1221|PA 205 - ESPINHEIROS|SC|ITAJAI
1222|PA 14 - CENTRO II ALTO DE MAFR|SC|MAFRA
1223|PA 06 - OXFORD|SC|SAO BENTO DO SUL
1224|PR 13 - IGUAPO|PR|LONDRINA
1225|PA 11 - BAIRRO PRAIA BRAVA|SC|ITAJAI
1226|PA 13 - BAIRRO MORRETES|SC|ITAPEMA
1227|PA 01 CENTRO (LAGES)|SC|LAGES
1228|PA 24 CASCAVEL|PR|CASCAVEL
1229|PA 08 ALVORADA|PR|FRANCISCO BELTRAO
1230|PA 19 AÇARAI|SC|SAO FRANCISCO DO S
1231|PA 208 BELCHIOR ALTO|SC|GASPAR
1232|PA 209  ALTO BENEDITO NOVO|SC|BENEDITO NOVO
1233|PA 20 CENTRO (ITUPORANGA)|SC|ITUPORANGA
1234|PA 25 - JARDIM ALVORADA|PR|LONDRINA
1235|PA 15 - CENTRO|PR|SAO MATEUS DO SUL
1236|PA 211 - SÃO PEDRO|PR|SAO JOSE DOS PINHA
1237|PA 05 - TRIANGULO|SC|LAGES
1238|PA 20 - SÃO CRISTÓVÃO|SC|BARRA VELHA
1239|PA 212 - AFONSO PENA|PR|SAO JOSE DOS PINHA
1240|PA 08 - COSTEIRA DO PIRAJUBAE|SC|FLORIANOPOLIS
1241|PA 222 - LIMOEIRO|SC|BRUSQUE
1242|PA 13 - CENTRO|SC|RIO NEGRINHO
1243|PA 09 - BONSUCESSO|PR|GUARAPUAVA
1244|PA 210 - CENTRO|SC|TIMBO
1245|PA 23 - ZONA ARMAZÉM|PR|MARINGA
1246|PA 220 - CENTRO|SC|NOVA TRENTO
1247|PA 21 - CENTRO|SC|RIO DO OESTE
1248|PA 14 - MUNICÍPIOS|SC|BALNEARIO CAMBORIU
1249|PR 14 - BUDAG|SC|RIO DO SUL
1250|PA 213 - CENTRO|PR|SAO JOSE DOS PINHA
1251|PA 10 - CENTRO SUL|PR|DOIS VIZINHOS
1252|PA 214 - CENTRO|PR|PINHAIS
1253|PA 21 - CENTRO|SC|JOINVILLE
1254|PA 11 - CENTRO|SC|CHAPECO
1255|PR 14 - ALTO DA XV|PR|CURITIBA
1256|PR 22 - CENTRO|SC|ATALANTA
1257|PA 224 - BARRACÃO|SC|GASPAR
1258|PR 225 - CENTRO|SC|ITAJAI
1259|PA 22 - BOEHMERWALD|SC|JOINVILLE
1260|PA 300 - CENTRO|SC|JOINVILLE
1261|PA 300 - BELA VISTA|SC|IBIRAMA
1262|PA 300 - RESSACADA|SC|ITAJAI
1263|PA 23 - CENTRO|SC|ITAPOA
1264|PR 15 - ESTRELA|PR|PONTA GROSSA
1265|PA 06 - PINHEIROS|SC|OTACILIO COSTA
1266|PA 300 - BOM RETIRO|SC|BLUMENAU