 BANCO   : 098 - CREDIALIANCA COOPERATIVA CREDITO RURAL|||
                                                                             |||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|CREDIALIANCA SEDE|PR|ROLANDIA
2|CREDIALIANCA ARAPONGAS|PR|ARAPONGAS
3|CREDIALIANCA CAMBE|PR|CAMBE
4|CREDIALIANCA SABAUDIA|PR|SABAUDIA
5|CREDIALIANCA JAGUAPITA|PR|JAGUAPITA
6|CREDIALIANCA PITANGUEIRAS|PR|PITANGUEIRAS
7|CREDIALIANCA ALVORADA DO SUL|PR|ALVORADA DO SUL
8|CREDIALIANCA B.VISTA PARAISO|PR|BELA VISTA DO PARA
9|CREDIALIANCA PRIMEIRO DE MAIO|PR|PRIMEIRO DE MAIO
10|CREDIALIANCA SERTANOPOLIS|PR|SERTANOPOLIS
11|CREDIALIANCA S.JERONIMO SERRA|PR|SAO JERONIMO DA SE
12|CREDIALIANCA S.SEBAST.AMOREIRA|PR|SAO SEBASTIAO DA A
13|CREDIALIANCA ASSAI|PR|ASSAI
14|CREDIALIANCA SANTA MARIANA|PR|SANTA MARIANA
15|CREDIALIANCA LONDRINA|PR|LONDRINA
16|CREDIALIANCA WARTA|PR|LONDRINA
17|CREDIALIANCA TAMARANA|PR|TAMARANA
18|CREDIALIANCA S.CECILIA PAVAO|PR|SANTA CECILIA DO P
19|CORNELIO PROCOPIO - PR|PR|CORNELIO PROCOPIO
30|NOVA SANTA BARBARA - PR|PR|NOVA SANTA BARBARA