  BANCO   : 479 - BANCO ITAUBANK S.A.|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|PAB LIBERO/S.PAULO|SP|SAO PAULO
2|PAB RIO DE JANEIRO|RJ|RIO DE JANEIRO
3|PAB PORTO ALEGRE|RS|PORTO ALEGRE
4|CAMPINAS|SP|CAMPINAS
5|PAB PANAMERICANA|SP|SAO PAULO
6|PAB VILA MARIANA|SP|SAO PAULO
7|PAB HIGIENOPOLIS|SP|SAO PAULO
8|PAB MOEMA|SP|SAO PAULO
9|RECIFE|PE|RECIFE
10|PAB BRASILIA|DF|BRASILIA
12|PAB MOINHOS DE VENTO|RS|PORTO ALEGRE
13|PAB BUTANTA|SP|SAO PAULO
14|PAB CASTELO|RJ|RIO DE JANEIRO
15|PAB AMERICAS|RJ|RIO DE JANEIRO
16|PAB BELO HORIZONTE|MG|BELO HORIZONTE
17|PAB UBERLANDIA|MG|UBERLANDIA
18|PAB MORUMBI|SP|SAO PAULO
19|SANTO AMARO|SP|SAO PAULO
20|PAB RECIFE|PE|RECIFE
21|PAB BLUMENAU|SC|BLUMENAU
22|PAB IPANEMA|RJ|RIO DE JANEIRO
23|PAB LAGO SUL|DF|BRASILIA
24|PAB RIBEIRAO PRETO|SP|RIBEIRAO PRETO
25|PAB GOIANIA|GO|GOIANIA
26|PAB GUARULHOS|SP|GUARULHOS
27|PAB JUNDIAI|SP|JUNDIAI
28|8AB SALVADOR|BA|SALVADOR
29|PAB CURITIBA|PR|CURITIBA
30|PAB SAO BERNARDO DO CAMPO|SP|SAO BERNARDO DO CA
31|PAB CIDADE JARDIM|SP|SAO PAULO
32|PAB SAO JOSE DO RIO PRETO|SP|SAO JOSE DO RIO PR
33|PAULISTA|SP|SAO PAULO
35|FORTALEZA|CE|FORTALEZA
37|PAB ALPHAVILLE|SP|BARUERI
39|PAB ESTADOS UNIDOS|SP|SAO PAULO
40|PAB BARRA DA TIJUCA|RJ|RIO DE JANEIRO
41|PAB TATUAPE|SP|SAO PAULO
43|PAB NOVA FARIA LIMA|SP|SAO PAULO
44|PAB REBOUCAS|SP|SAO PAULO
47|PAB TRIANON|SP|SAO PAULO
48|PAB NACOES UNIDAS|SP|SAO PAULO
49|PAB SANTO ANDRE|SP|SANTO ANDRE
50|PAB CAMPO BELO|SP|SAO PAULO
51|PAB GIOVANNI GRONCHI|SP|SAO PAULO
52|PAB BANDEIRANTES|SP|SAO PAULO
53|PAB SANTANA|SP|SAO PAULO
54|PAB MOOCA|SP|SAO PAULO
55|PAB LAPA|SP|SAO PAULO
56|PAB MANGABEIRAS-BHTE|MG|BELO HORIZONTE
57|PAB BATEL|PR|CURITIBA
58|PAB SUMARE|SP|SAO PAULO
59|PAB CENTRO CIVICO|PR|CURITIBA
60|PAB NITEROI|RJ|NITEROI
61|PAB FORTALEZA|CE|FORTALEZA
62|PAB BOA VIAGEM|PE|RECIFE
63|PAB FAROL DA BARRA|BA|SALVADOR
64|PAB TIJUCA|RJ|RIO DE JANEIRO
65|PAB ASA NORTE|DF|BRASILIA
66|PAB GAVEA|RJ|RIO DE JANEIRO
67|PAB SAO LUCAS|MG|BELO HORIZONTE
68|PAB BOTAFOGO|RJ|RIO DE JANEIRO
69|PAB COPACABANA|RJ|RIO DE JANEIRO
70|PAB ALTO DA BOA VISTA|SP|SAO PAULO
71|PAB MOINHOS DE VENTO|RS|PORTO ALEGRE
73|PAB MACEIO|AL|MACEIO
74|PAB VITORIA|ES|VITORIA
75|PAB NATAL|RN|NATAL
76|PAB LONDRINA|PR|LONDRINA
77|PAB SAO JOSE DOS CAMPOS|SP|SAO JOSE DOS CAMPO
78|PAB FLORIANOPOLIS|SC|FLORIANOPOLIS
79|PAB SOROCABA|SP|SOROCABA