  BANCO   : 634 - BANCO TRIANGULO S/A  |||
                                                                            |||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|MATRIZ|MG|UBERLANDIA
2|SAO PAULO|SP|SAO PAULO
3|RECIFE|PE|RECIFE
4|SALVADOR|BA|SALVADOR
6|CAMPO GRANDE|MS|CAMPO GRANDE
7|BRASILIA|DF|BRASILIA
8|BELEM|PA|BELEM
10|RIO DE JANEIRO|RJ|RIO DE JANEIRO
11|PORTO ALEGRE|RS|PORTO ALEGRE
12|MANAUS|AM|MANAUS
13|FORTALEZA|CE|FORTALEZA
17|CURITIBA|PR|CURITIBA
24|GOIANIA|GO|GOIANIA
26|VITORIA|ES|VITORIA
34|SAO JOSE|SC|SAO JOSE